FIPS,Year,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_Income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_Access,Park_Distance,Walkscore,Walkscore_Percentile,Tob_Retailer_Per_1000,Felony_Per_1000,GINI,SVI_Themes_Total,SVI_Flags,Housing_Violations_Per_1000,Voter Turnout,Turnout Quartile
36005007000,2016,1,4646,0.2,0.25,0.02,0.09,0.0,0.42,0.02,0.62,0.58,0.42,0.75,0.25,0.02,0.07,0.3,0.12,0.18,0.01,0.29,0.18,0.29,33712,0.13,0.13,0.87,0.00,0.21,0.03,0.42,0.58,0.03,0.38,3.163,0,1.554113751,0.4336,3,0,14,0.4413,0.9396,7,315,0.2,1
36005007100,2016,1,2358,0.13,0.45,0.01,0.0,0.0,0.38,0.02,0.61,0.83,0.17,0.95,0.05,0.02,0.05,0.28,0.17,0.21,0.04,0.23,0.12,0.28,39792,0.19,0.12,0.88,0.03,0.18,0.00,0.46,0.50,0.04,0.35,3.293,0,0.855578601,3.2714,5,1,46,0.4066,0.9377,3,232,0.18,1
36005007200,2016,1,5981,0.16,0.18,0.0,0.2,0.0,0.38,0.08,0.55,0.53,0.47,0.69,0.31,0.05,0.05,0.27,0.11,0.19,0.08,0.22,0.16,0.31,44844,0.07,0.23,0.77,0.01,0.36,0.02,0.40,0.48,0.03,0.31,3.349,0,1.659962379,0.0742,3,2,10,0.4392,0.8711,3,401,0.2,1
36005007300,2016,1,3735,0.09,0.37,0.0,0.0,0.01,0.52,0.01,0.66,0.67,0.33,0.75,0.25,0.02,0.07,0.23,0.16,0.13,0.0,0.39,0.34,0.43,20678,0.17,0.16,0.84,0.01,0.28,0.00,0.24,0.63,0.02,0.49,3.477,0,0.431533586,3.734,5,1,27,0.4894,0.9909,10,209,0.18,1
36005007400,2016,1,3724,0.26,0.3,0.0,0.0,0.0,0.42,0.02,0.7,0.76,0.24,0.93,0.07,0.06,0.03,0.27,0.19,0.21,0.07,0.16,0.03,0.19,44836,0.09,0.10,0.90,0.06,0.13,0.05,0.57,0.41,0.05,0.22,3.008,0,1.161557639,-2.2606,2,0,12,0.4262,0.8426,1,109,0.2,1
36005007500,2016,1,4932,0.13,0.43,0.0,0.0,0.0,0.41,0.04,0.64,0.81,0.19,0.9,0.1,0.02,0.04,0.28,0.18,0.15,0.03,0.3,0.16,0.35,22055,0.06,0.09,0.91,0.00,0.14,0.08,0.33,0.64,0.05,0.45,3.426,0,0.808056834,3.1508,5,1,18,0.4622,0.9763,7,191,0.19,1
36005007600,2016,1,5853,0.21,0.23,0.01,0.07,0.0,0.39,0.08,0.66,0.59,0.41,0.74,0.26,0.04,0.04,0.26,0.17,0.13,0.05,0.31,0.21,0.28,41983,0.09,0.27,0.74,0.13,0.34,0.05,0.36,0.46,0.01,0.33,3.621,0,,2.4215,5,2,20,0.4742,0.8335,4,514,0.2,1
36005007700,2016,1,1904,0.12,0.28,0.0,0.0,0.0,0.57,0.04,0.72,0.76,0.24,0.87,0.13,0.03,0.0,0.23,0.18,0.2,0.04,0.31,0.10,0.37,26011,0.15,0.09,0.91,0.02,0.13,0.00,0.39,0.62,0.02,0.45,3.38,0,1.104693797,2.8619,5,2,27,0.471,0.9627,6,517,0.19,1
36005007800,2016,1,6868,0.18,0.24,0.0,0.09,0.0,0.44,0.05,0.64,0.62,0.38,0.77,0.23,0.09,0.02,0.31,0.15,0.18,0.02,0.24,0.26,0.29,34095,0.17,0.22,0.78,0.04,0.33,0.00,0.43,0.44,0.02,0.31,3.555,0,1.694738893,-0.0316,3,0,11,0.4739,0.928,7,343,0.2,1
36005007900,2016,1,6099,0.18,0.32,0.0,0.0,0.0,0.48,0.02,0.75,0.75,0.25,0.83,0.17,0.04,0.02,0.31,0.1,0.13,0.02,0.38,0.37,0.40,23472,0.21,0.17,0.83,0.00,0.27,0.05,0.30,0.61,0.03,0.44,3.463,0,0.913669871,2.8934,5,2,15,0.4851,0.9899,11,262,0.18,1
