FIPS,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_access,Park_distance,Walkscore,Walkscore_percentile,Tob_retailer_per_1000,felony_per_1000,GINI,SVI_themes_total,SVI_flags,serious_housing_violations_per_1000,total_housing_violations_per_1000,Voter Turnout,Turnout quartile,
36047033700,1,4098,0.41,0.49,0.004,0.02,0.000,0.01,0.06,0.11,0.67,0.33,0.89,0.11,0.01,0.05,0.26,0.21,0.20,0.20,0.08,0.10,0.15,54719,0.03,0.15,0.85,0.04,0.22,0.04,0.55,0.36,0.04,0.25,3.094,0,0.681540625,0.0349,3,0,21,0.4488,0.8319,1,0.0693,0.3463,0.22,2,
36047033900,1,4788,0.19,0.70,0.000,0.04,0.000,0.04,0.04,0.08,0.62,0.38,0.81,0.19,0.01,0.04,0.26,0.25,0.20,0.11,0.13,0.04,0.29,36570,0.09,0.13,0.87,0.00,0.21,0.00,0.59,0.39,0.04,0.17,3.091,0,0.51617382,0.1681,3,1,20,0.4662,0.8562,0,0.1187,0.4947,0.22,2,
36047034000,1,2174,0.43,0.42,0.000,0.07,0.000,0.07,0.01,0.17,0.64,0.36,0.92,0.08,0.08,0.04,0.36,0.07,0.22,0.05,0.18,0.30,0.36,20833,0.15,0.08,0.92,0.07,0.13,0.00,0.23,0.75,0.05,0.34,2.212,0,0.875569903,-2.8656,1,0,6,0.4559,0.9868,9,0.0033,0.0148,0.26,3,
36047034100,1,2767,0.13,0.79,0.000,0.00,0.000,0.06,0.02,0.10,0.69,0.31,0.86,0.14,0.03,0.03,0.29,0.13,0.33,0.05,0.14,0.03,0.16,50370,0.06,0.18,0.82,0.17,0.21,0.00,0.61,0.34,0.04,0.12,3.017,0,0.2685947,1.0697,4,0,14,0.3981,0.7133,1,0.2078,0.8244,0.25,3,
36047034200,1,5838,0.37,0.39,0.000,0.04,0.003,0.19,0.01,0.26,0.69,0.31,0.96,0.04,0.05,0.03,0.35,0.13,0.28,0.05,0.12,0.35,0.40,17802,0.26,0.08,0.92,0.05,0.14,0.02,0.28,0.71,0.03,0.34,2.339,0,0.718695488,-2.9812,1,1,28,0.6073,0.9837,7,0.0775,0.9860,0.26,3,
36047034300,1,4809,0.08,0.71,0.013,0.05,0.000,0.14,0.01,0.22,0.74,0.26,0.89,0.11,0.02,0.04,0.30,0.10,0.22,0.07,0.25,0.16,0.38,24834,0.13,0.08,0.92,0.01,0.12,0.00,0.40,0.61,0.03,0.41,3.072,0,0.371257161,0.4434,4,1,16,0.5819,0.9625,2,0.0791,0.2918,0.22,2,
36047034500,1,3188,0.05,0.81,0.000,0.01,0.000,0.09,0.04,0.09,0.58,0.42,0.78,0.22,0.01,0.02,0.46,0.16,0.13,0.12,0.10,0.03,0.35,27127,0.08,0.28,0.73,0.18,0.34,0.00,0.40,0.44,0.03,0.28,3.041,0,0.440451448,0.3636,3,1,28,0.5027,0.8721,3,0.1006,0.4468,0.22,2,
36047034700,1,3376,0.02,0.87,0.000,0.01,0.000,0.09,0.00,0.15,0.65,0.35,0.85,0.15,0.01,0.02,0.36,0.22,0.18,0.08,0.13,0.03,0.29,36641,0.10,0.18,0.82,0.12,0.21,0.00,0.48,0.46,0.02,0.28,3.069,0,0.453802545,0.7282,4,3,36,0.4915,0.8564,1,0.1550,0.9629,0.22,2,
36047034800,1,2483,0.51,0.01,0.000,0.19,0.000,0.28,0.01,0.42,0.49,0.51,0.76,0.24,0.07,0.02,0.27,0.14,0.19,0.07,0.24,0.36,0.27,56975,0.08,0.18,0.82,0.00,0.26,0.00,0.41,0.44,0.00,0.37,2.912,0,X,-0.7224,3,4,60,0.4877,0.7946,2,0.0478,0.2193,0.26,3,
36047034900,1,5932,0.09,0.81,0.001,0.01,0.000,0.07,0.02,0.11,0.58,0.42,0.77,0.23,0.03,0.04,0.32,0.21,0.18,0.04,0.17,0.06,0.30,30463,0.11,0.17,0.83,0.05,0.23,0.07,0.46,0.50,0.04,0.31,3.155,0,0.239909733,0.0685,3,1,20,0.4742,0.8554,1,0.3413,1.6637,0.19,1,
36047035000,1,2721,0.97,0.00,0.000,0.01,0.000,0.00,0.02,0.01,0.27,0.73,0.94,0.06,0.01,0.02,0.20,0.10,0.42,0.20,0.05,0.51,0.24,34526,0.15,0.11,0.89,0.00,0.20,0.00,0.50,0.54,0.04,0.13,2.84,0,1.038334677,-1.2139,2,1,43,0.4206,0.5631,4,0.0000,0.0148,0.26,3,
36047035100,1,4280,0.11,0.67,0.003,0.01,0.000,0.12,0.07,0.22,0.48,0.52,0.78,0.22,0.02,0.06,0.38,0.19,0.15,0.08,0.11,0.20,0.32,32407,0.13,0.11,0.89,0.01,0.17,0.00,0.43,0.59,0.04,0.38,3.094,0,0.412965001,-0.0111,3,2,69,0.4802,0.9307,4,0.5276,2.1550,0.22,2,
36047035200,1,1012,0.63,0.23,0.005,0.00,0.000,0.13,0.00,0.18,0.58,0.42,0.90,0.10,0.12,0.04,0.23,0.09,0.19,0.07,0.25,0.64,0.53,11444,0.00,0.00,1.00,0.00,0.00,0.00,0.15,0.94,0.07,0.20,2.072,0,0.912514441,-1.1269,2,2,17,0.3457,0.8379,9,0.0082,0.0379,0.26,3,
36047035300,1,4903,0.22,0.70,0.000,0.02,0.000,0.04,0.02,0.08,0.53,0.47,0.84,0.16,0.01,0.08,0.29,0.18,0.25,0.07,0.12,0.05,0.23,39572,0.06,0.12,0.88,0.03,0.16,0.00,0.52,0.47,0.05,0.25,3.136,0,0.568928433,-0.438,3,1,28,0.5009,0.7985,1,0.6480,2.1699,0.22,2,
36047035400,1,5341,0.99,0.01,0.000,0.00,0.000,0.00,0.00,0.05,0.39,0.61,0.94,0.06,0.00,0.00,0.21,0.09,0.41,0.23,0.04,0.40,0.08,50333,0.07,0.03,0.97,0.00,0.05,0.00,0.71,0.46,0.06,0.05,3.324,0,0.977777273,0.2445,3,1,44,0.4734,0.3806,3,0.0016,0.0363,0.26,3,
36047035500,1,5660,0.14,0.80,0.000,0.00,0.000,0.04,0.01,0.10,0.61,0.39,0.84,0.16,0.01,0.04,0.28,0.25,0.20,0.10,0.12,0.05,0.19,47239,0.07,0.18,0.82,0.12,0.23,0.00,0.53,0.41,0.03,0.24,3.299,0,0.527337869,0.2159,3,1,12,0.4265,0.771,1,0.3545,1.4411,0.19,1,
